country_name,year,end_year,Region,Average Term Population,Freedom of Expression,Religious Freedom,Conflict,Anti-Elitism Polarization,People-Centrism Polarization,Political Opponents Polarization,Political Pluralism Polarization,Minority Rights Polarization,Rejection of Political Violence Polarization,Immigration Polarization,LGBT Social Equality Polarization,Cultural Superiority Polarization,Religious Principles Polarization,Gender Equality Polarization,Working Women Polarization,Economic Left-Right Scale Polarization,Welfare Polarization,Clientelism Polarization,GDP per Capita,Gini Index
Mauritius,2014,2019,Sub-Saharan Africa,1263773.1666666667,0.8650000000000001,1.4131666666666665,0.0,0.0011281196965157,0.0143021282619156,0.0013890203429411,0.0161048811847403,0.003481055063534,0.0046830085076289,0.0025282366321118,0.000418067887532,0.0013952695142182,0.0355925670898539,0.0111803297922913,0.0035488241545315,0.0676669161676472,0.000926516556834,0.0066597051483907,21739.886989874318,0.5747035
Mauritius,2019,2023,Sub-Saharan Africa,1265008.5,0.7482,1.646,0.0,0.2494515075724388,0.0001512475500412,0.0051252290328068,0.0095651878013301,0.0067837837945667,0.0015082338984923,0.0071418276326602,0.0068972863214554,0.0101092296786029,0.0077512356871053,0.00677344865123,0.0032612986350068,0.0831379345562001,0.0042368174433501,0.3147988952383911,24840.772868156702,0.57470345
Mexico,1988,1991,Latin America and the Caribbean,83153352.75,0.5820000000000001,0.10425,0.0,0.6721637800958379,0.3793412790578507,0.2625774654887485,0.6661912885816823,0.295727241178631,0.3101975797838671,0.184240946210007,0.4139831148152368,0.1487892666149875,0.3115340319264216,0.1446090860001385,0.2919887672060485,0.4424467567398198,0.4550532550256886,0.5904221250806692,8828.54135513565,0.6978124
Mexico,1991,1994,Latin America and the Caribbean,87842398.25,0.63775,1.09375,1.0,0.4510315494224716,0.2990650471364348,0.2373535396495213,0.4364509682737508,0.2158479358645401,0.2672807224362813,0.2034822716173428,0.3531868483974999,0.1334718607518387,0.3091932310039297,0.1242033891786558,0.2602980955904851,0.2786235289627268,0.312025387484772,0.4821493513338821,9264.002561800435,0.6978124
Mexico,1994,1997,Latin America and the Caribbean,92394434.75,0.68325,1.413,1.0,0.5439597910666383,0.4130902799540824,0.2491224526311818,0.3584665751036143,0.1734656732704778,0.2906314337452127,0.2469440050705272,0.4153714254137211,0.1621112388882288,0.3328809028534428,0.1263065365398115,0.2943908244911893,0.3368226220779687,0.3645981221803357,0.4851349540176244,9519.489817408137,0.6978124
Mexico,1997,2000,Latin America and the Caribbean,96762997.25,0.7085,1.413,0.0,0.6272339434246191,0.4883242121985608,0.2703953283188949,0.3117019172193948,0.1643426763943069,0.2593721979480866,0.2988520099187449,0.4550531130607623,0.1982800456375186,0.3359588070099333,0.1245910999970503,0.3025163086348533,0.4091384373067617,0.4637667566130989,0.4005860782988157,10918.407151432975,0.6978124
Mexico,2000,2003,Latin America and the Caribbean,100990945.25,0.789,1.413,0.0,0.4163455143702192,0.3737182957091159,0.1831343429840128,0.2382750104947808,0.1616537706472058,0.1611097575189032,0.2670177472362835,0.4239828209199317,0.1760946340732941,0.4015310856524606,0.1384493934618234,0.2656062686981601,0.3797553052894613,0.339767754152866,0.4429539910157569,11817.788440764825,0.7027796666666667
Mexico,2003,2006,Latin America and the Caribbean,105290327.0,0.797,1.413,0.0,0.4981374174058937,0.4253212257932912,0.1780438487448078,0.17719192888419,0.1452916310050865,0.1645065833812243,0.2990904465894982,0.4366918020686302,0.0949782744300719,0.372389461099687,0.1433805691404199,0.2263110479742771,0.4028849167120308,0.3995976039137345,0.398204367909541,13131.471545192999,0.7213522474999999
Mexico,2006,2009,Latin America and the Caribbean,110002454.0,0.7925,1.413,0.0,0.6587578329531539,0.5888118240627062,0.2391829297028048,0.1368113098136301,0.2093837938148831,0.1169571655028856,0.34815660256023,0.5259596447926717,0.1143745285756198,0.3432858115725233,0.1621497601150989,0.2794363478886091,0.5122030198591271,0.3948262724347767,0.3499015153315803,15111.683482188075,0.7410714549999999
Mexico,2009,2012,Latin America and the Caribbean,114881617.75,0.79,1.413,0.0,0.5222497543265184,0.4452750631271242,0.1902671999892176,0.2155011018082017,0.1382520070747166,0.1514051961218517,0.2736615529164137,0.4161717178138093,0.0938193378551854,0.3555211797833765,0.087418594352123,0.2178583803665628,0.3507857298109815,0.3495273430512855,0.4005556698356072,16593.272735768125,0.7487198675
